alert_id,timestamp,src_ip,dst_ip,ground_truth_label,expected_severity,predicted_attack,severity,technique_id,technique_name,summary,recommended_action,confidence,engine,attack_correct,severity_close,technique_correct
A001,2017-07-07T10:00:01Z,172.16.0.5,10.0.0.10,BENIGN,low,False,low,N/A,No technique assigned,TCP flow from 172.16.0.5 to public-web-01 (10.0.0.10:443) does not cross the MVP's attack thresholds and has no known-bad source match.,Continue monitoring; no immediate containment action is recommended.,0.78,rules,True,True,True
A002,2017-07-07T10:00:03Z,172.16.0.8,10.0.0.30,BENIGN,low,False,low,N/A,No technique assigned,TCP flow from 172.16.0.8 to file-server-01 (10.0.0.30:445) does not cross the MVP's attack thresholds and has no known-bad source match.,Continue monitoring; no immediate containment action is recommended.,0.78,rules,True,True,True
A003,2017-07-07T10:00:07Z,10.0.0.30,8.8.8.8,BENIGN,low,False,low,N/A,No technique assigned,UDP flow from 10.0.0.30 to unmanaged-endpoint (8.8.8.8:53) does not cross the MVP's attack thresholds and has no known-bad source match.,Continue monitoring; no immediate containment action is recommended.,0.78,rules,True,True,True
A004,2017-07-07T10:00:12Z,172.16.0.11,10.0.0.10,BENIGN,low,False,low,N/A,No technique assigned,TCP flow from 172.16.0.11 to public-web-01 (10.0.0.10:80) does not cross the MVP's attack thresholds and has no known-bad source match.,Continue monitoring; no immediate containment action is recommended.,0.78,rules,True,True,True
A005,2017-07-07T10:00:17Z,10.0.0.20,192.0.2.45,BENIGN,low,False,low,N/A,No technique assigned,TCP flow from 10.0.0.20 to unmanaged-endpoint (192.0.2.45:443) does not cross the MVP's attack thresholds and has no known-bad source match.,Continue monitoring; no immediate containment action is recommended.,0.78,rules,True,True,True
A006,2017-07-07T10:00:21Z,172.16.0.20,10.0.0.30,BENIGN,low,False,low,N/A,No technique assigned,TCP flow from 172.16.0.20 to file-server-01 (10.0.0.30:445) does not cross the MVP's attack thresholds and has no known-bad source match.,Continue monitoring; no immediate containment action is recommended.,0.78,rules,True,True,True
A007,2017-07-07T10:01:00Z,192.0.2.101,10.0.0.10,PortScan,medium,True,medium,T1046,Network Service Discovery,"TCP flow from 192.0.2.101 to public-web-01 (10.0.0.10:80) shows 42 SYN flags with little response traffic, consistent with service probing.","Monitor the source across destinations, block if unauthorized, and review exposed services.",0.91,rules,True,True,True
A008,2017-07-07T10:01:02Z,192.0.2.101,10.0.0.20,PortScan,medium,True,medium,T1046,Network Service Discovery,"TCP flow from 192.0.2.101 to identity-01 (10.0.0.20:22) shows 39 SYN flags with little response traffic, consistent with service probing.","Monitor the source across destinations, block if unauthorized, and review exposed services.",0.91,rules,True,True,True
A009,2017-07-07T10:01:04Z,192.0.2.102,10.0.0.30,PortScan,medium,True,medium,T1046,Network Service Discovery,"TCP flow from 192.0.2.102 to file-server-01 (10.0.0.30:445) shows 47 SYN flags with little response traffic, consistent with service probing.","Monitor the source across destinations, block if unauthorized, and review exposed services.",0.91,rules,True,True,True
A010,2017-07-07T10:01:06Z,192.0.2.103,10.0.0.10,PortScan,medium,True,medium,T1046,Network Service Discovery,"TCP flow from 192.0.2.103 to public-web-01 (10.0.0.10:443) shows 31 SYN flags with little response traffic, consistent with service probing.","Monitor the source across destinations, block if unauthorized, and review exposed services.",0.91,rules,True,True,True
