alert_id,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,payload_bytes,flow_duration_ms,packets_forward,packets_backward,syn_flag_count,failed_logins,ground_truth_label
A001,2017-07-07T10:00:01Z,172.16.0.5,10.0.0.10,51514,443,TCP,8420,1250,12,10,2,0,BENIGN
A002,2017-07-07T10:00:03Z,172.16.0.8,10.0.0.30,50001,445,TCP,12500,820,18,15,3,0,BENIGN
A003,2017-07-07T10:00:07Z,10.0.0.30,8.8.8.8,53001,53,UDP,320,41,2,2,0,0,BENIGN
A004,2017-07-07T10:00:12Z,172.16.0.11,10.0.0.10,51882,80,TCP,22040,1920,25,22,2,0,BENIGN
A005,2017-07-07T10:00:17Z,10.0.0.20,192.0.2.45,50100,443,TCP,4400,640,8,7,2,0,BENIGN
A006,2017-07-07T10:00:21Z,172.16.0.20,10.0.0.30,61000,445,TCP,87200,4510,62,55,4,0,BENIGN
A007,2017-07-07T10:01:00Z,192.0.2.101,10.0.0.10,41001,80,TCP,1800,910,45,1,42,0,PortScan
A008,2017-07-07T10:01:02Z,192.0.2.101,10.0.0.20,41002,22,TCP,1640,840,41,0,39,0,PortScan
A009,2017-07-07T10:01:04Z,192.0.2.102,10.0.0.30,41003,445,TCP,2100,1130,52,2,47,0,PortScan
A010,2017-07-07T10:01:06Z,192.0.2.103,10.0.0.10,41004,443,TCP,1320,730,34,1,31,0,PortScan
A011,2017-07-07T10:02:00Z,192.0.2.121,10.0.0.30,52001,21,TCP,9600,18400,110,86,9,14,FTP-Patator
A012,2017-07-07T10:02:04Z,192.0.2.122,10.0.0.30,52002,21,TCP,7800,16200,94,73,8,11,FTP-Patator
A013,2017-07-07T10:02:08Z,192.0.2.123,10.0.0.30,52003,21,TCP,10400,20500,124,91,10,17,FTP-Patator
A014,2017-07-07T10:03:00Z,192.0.2.131,10.0.0.20,53001,22,TCP,8400,17100,101,89,11,19,SSH-Patator
A015,2017-07-07T10:03:04Z,192.0.2.132,10.0.0.20,53002,22,TCP,7500,14300,88,70,8,12,SSH-Patator
A016,2017-07-07T10:03:08Z,192.0.2.133,10.0.0.20,53003,22,TCP,11200,22400,132,99,12,22,SSH-Patator
A017,2017-07-07T10:04:00Z,192.0.2.151,10.0.0.10,54001,80,TCP,2400000,1800,3200,12,850,0,DDoS
A018,2017-07-07T10:04:02Z,192.0.2.152,10.0.0.10,54002,80,TCP,1980000,2200,2710,8,760,0,DDoS
A019,2017-07-07T10:04:04Z,192.0.2.153,10.0.0.10,54003,443,TCP,3150000,2700,4180,16,990,0,DDoS
A020,2017-07-07T10:04:06Z,192.0.2.154,10.0.0.10,54004,443,TCP,1680000,3200,2250,14,680,0,DDoS
A021,2017-07-07T10:05:00Z,198.51.100.4,10.0.0.10,55001,443,TCP,45000,8400,78,65,5,0,Bot
A022,2017-07-07T10:05:05Z,198.51.100.7,10.0.0.30,55002,80,TCP,38000,7100,66,52,4,0,Bot
A023,2017-07-07T10:05:10Z,203.0.113.66,10.0.0.20,55003,443,TCP,51000,9300,82,74,6,0,Bot
A024,2017-07-07T10:05:15Z,203.0.113.70,10.0.0.10,55004,80,TCP,33000,6800,59,48,4,0,Bot
